Job_position,LowEnd_salary,Median_salary,HighEnd_salary,Country,datetime
Data Engineer,34000.00 EUR,42000.00 EUR,55000.00 EUR,fr,2020-06-07 14:41:06.272359
Data Analyst,25600.00 EUR,38000.00 EUR,49200.00 EUR,fr,2020-06-07 14:41:06.272359
Data Scientist,32400.00 EUR,42000.00 EUR,56100.00 EUR,fr,2020-06-07 14:41:06.272359
Database Administrator,27900.00 EUR,45000.00 EUR,63500.00 EUR,fr,2020-06-07 14:41:06.272359
Web Developer,1830.00 EUR,2750.00 EUR,3800.00 EUR,nl,2020-06-07 14:41:06.272359
Javascript Developer,2400.00 EUR,3430.00 EUR,5100.00 EUR,nl,2020-06-07 14:41:06.272359
Back End Developer,2200.00 EUR,3300.00 EUR,4900.00 EUR,nl,2020-06-07 14:41:06.272359
Frontend Developer,2000.00 EUR,3000.00 EUR,4400.00 EUR,nl,2020-06-07 14:41:06.272359
Web Designer,1600.00 EUR,2300.00 EUR,3250.00 EUR,nl,2020-06-07 14:41:06.272359
User Experience Designer,2200.00 EUR,3170.00 EUR,4800.00 EUR,nl,2020-06-07 14:41:06.272359
Graphic Web Designer,1500.00 EUR,2200.00 EUR,3200.00 EUR,nl,2020-06-07 14:41:06.272359
Data Engineer,33500.00 EUR,49000.00 EUR,72700.00 EUR,nl,2020-06-07 14:41:06.272359
Data Analyst,2300.00 EUR,3300.00 EUR,4850.00 EUR,nl,2020-06-07 14:41:06.272359
Data Scientist,33900.00 EUR,48000.00 EUR,72300.00 EUR,nl,2020-06-07 14:41:06.272359
Database Administrator,3020.00 EUR,4170.00 EUR,4970.00 EUR,nl,2020-06-07 14:41:06.272359
